model,group,scheme,benchmark,acc_before,acc_after,delta,pred,lo,hi,inside_90
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w8a8,deepseek-r1-distill,w8a8_int,truthfulqa,50.55,49.89,-0.66,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-12b-it-quantized.w8a8,gemma-3,w8a8_int,winogrande,79.4,78.77,-0.63,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,winogrande,79.4,78.77,-0.63,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-27b-it-FP8-dynamic,gemma-3,fp8_dynamic,gsm8k,92.12,91.51,-0.61,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/gemma-3-4b-it-FP8-dynamic,gemma-3,fp8_dynamic,gsm8k,76.12,75.51,-0.61,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,qwen3-30b-a3b,w4a16,gsm8k,87.26,86.66,-0.6,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,mmlu,82.56,81.97,-0.59,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/SmolLM-1.7B-Instruct-quantized.w8a8,smollm,w8a8_int,mmlu,28.1,27.54,-0.56,-0.3202577319587629,-1.71,1.069484536082474,True
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,qwen3-30b-a3b,fp8_dynamic,gsm8k,87.26,86.73,-0.53,-0.047700000000000006,-1.44,1.3445999999999998,True
RedHatAI/DeepSeek-R1-Distill-Llama-8B-quantized.w4a16,deepseek-r1-distill,w4a16,ifeval,38.37,37.85,-0.52,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
RedHatAI/Llama-3.1-Nemotron-70B-Instruct-HF-quantized.w4a16,nemotron,w4a16,hellaswag,87.61,87.09,-0.52,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True
