model,family,base_model,scheme,benchmark,acc_before,acc_after,y,yhat,lo,hi,backoff,covered,fold
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.04190476190476191,-2.2095363408521305,2.1257268170426062,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,hellaswag,61.01,61.0,-0.01,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,winogrande,62.27,62.35,0.08,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,truthfulqa,43.52,43.08,-0.44,-0.36333333333333334,-2.5309649122807016,1.804298245614035,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu,47.66,47.95,0.29,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu_cot,47.1,44.63,-2.47,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,arc_challenge,58.36,56.14,-2.22,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,gsm8k,45.72,46.7,0.98,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,hellaswag,61.01,60.95,-0.06,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,winogrande,62.27,61.33,-0.94,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,truthfulqa,43.52,42.84,-0.68,-0.35015151515151516,-2.5177830940988835,1.8174800637958533,False,True,Llama-3.2-1B-Instruct|s3
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu,47.66,47.55,-0.11,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,mmlu_cot,47.1,46.79,-0.31,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,arc_challenge,58.36,57.25,-1.11,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,gsm8k,45.72,45.94,0.22,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,winogrande,62.27,61.4,-0.87,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,hellaswag,61.01,60.95,-0.06,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-1B-Instruct,fp8_dynamic,truthfulqa,43.52,44.23,0.71,-0.02636363636363637,-1.3827272727272728,1.33,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,mmlu,47.66,47.76,0.1,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,arc_challenge,58.36,57.85,-0.51,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,gsm8k,45.72,45.49,-0.23,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,hellaswag,61.01,61.0,-0.01,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,winogrande,62.27,62.35,0.08,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-FP8,llama-3.2,Llama-3.2-1B-Instruct,fp8,truthfulqa,43.52,43.08,-0.44,-0.2709302325581395,-1.627293868921776,1.085433403805497,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu,47.66,47.95,0.29,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,mmlu_cot,47.1,44.63,-2.47,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,False,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,arc_challenge,58.36,56.14,-2.22,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,False,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,gsm8k,45.72,46.7,0.98,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,hellaswag,61.01,60.95,-0.06,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,winogrande,62.27,61.33,-0.94,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,llama-3.2,Llama-3.2-1B-Instruct,w8a8_int,truthfulqa,43.52,42.84,-0.68,-0.3279166666666667,-1.684280303030303,1.0284469696969698,False,True,Llama-3.2-1B-Instruct|s4
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,mmlu,62.98,62.95,-0.03,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,mmlu_cot,65.4,65.23,-0.17,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,arc_challenge,77.13,76.71,-0.42,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,gsm8k,77.94,76.72,-1.22,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,winogrande,71.11,71.11,0.0,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
RedHatAI/Llama-3.2-3B-Instruct-FP8-dynamic,llama-3.2,Llama-3.2-3B-Instruct,fp8_dynamic,hellaswag,73.62,73.54,-0.08,-0.10592307692307693,-2.0993054298642533,1.8874592760180995,False,True,Llama-3.2-3B-Instruct|s0
