set,model,reason,label,n_nums
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Portuguese MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Spanish MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Italian MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,German MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,French MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Hindi MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16,benchmark_not_whitelisted,Thai MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Portuguese MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Spanish MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Italian MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,German MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,French MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Hindi MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a16,benchmark_not_whitelisted,Thai MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Portuguese MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Spanish MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Italian MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,German MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,French MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Hindi MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,benchmark_not_whitelisted,Thai MMLU (5-shot),3
training,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a16,benchmark_not_whitelisted,Average,3
training,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Mistral-7B-Instruct-v0.3-FP8,benchmark_not_whitelisted,Average,3
training,RedHatAI/Mistral-7B-Instruct-v0.3-quantized.w4a16,benchmark_not_whitelisted,Average,3
