model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified,family_raw,group,pred,lo,hi,inside_90,ae,ae_baseline
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,gsm8k,1319,93.03,93.03,0.0,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.7349222797927462,0.38851897184822526
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,hellaswag,10042,84.85,84.43,-0.42,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.3149222797927462,0.031481028151774726
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,mmlu,14042,78.04,77.15,-0.89,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.15507772020725386,0.5014810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,truthfulqa,817,56.67,57.79,1.12,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.8549222797927463,1.5085189718482255
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,winogrande,1267,78.22,79.48,1.26,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.9949222797927462,1.6485189718482252
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,ifeval,541,42.45,42.41,-0.04,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.6949222797927461,0.3485189718482253
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,bbh,6511,21.26,16.96,-4.3,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,False,3.5650777202072534,3.9114810281517745
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,humaneval,164,81.1,80.2,-0.9,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.16507772020725386,0.5114810281517748
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w4a16,DeepSeek-R1-Distill-Llama-70B,other,70.0,0,w4a16,4,16,int,smoothquant+gptq,humaneval_plus,164,75.2,73.0,-2.2,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.465077720207254,1.8114810281517748
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,gpqa,448,59.35,57.48,-1.87,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.135077720207254,1.4814810281517747
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,arc_challenge,1172,58.79,58.28,-0.51,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.22492227979274615,0.12148102815177475
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,gsm8k,1319,87.04,87.34,0.3,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.0349222797927462,0.6885189718482252
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,hellaswag,10042,81.51,80.42,-1.09,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.3550777202072539,0.7014810281517748
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,mmlu,14042,74.46,73.32,-1.14,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,0.40507772020725374,0.7514810281517746
RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w4a16,DeepSeek-R1-Distill-Qwen-14B,other,14.0,0,w4a16,4,16,int,smoothquant+gptq,truthfulqa,817,54.77,55.29,0.52,arith,1,other,deepseek-r1-distill,-0.7349222797927462,-2.8698445595854922,1.3999999999999997,True,1.2549222797927462,0.9085189718482253
