model,base_model,family,params_b,is_instruct,scheme,weight_bits,act_bits,num_type,method,benchmark,n_items,acc_before,acc_after,delta,orient_src,verified
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,truthfulqa,817,62.75,61.66,-1.09,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,humaneval,164,83.2,83.4,0.2,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w4a16,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w4a16,4,16,int,gptq,humaneval_plus,164,78.4,78.6,0.2,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,mmlu,14042,81.6,81.19,-0.41,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,mmlu_cot,14042,86.58,85.92,-0.66,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,arc_challenge,1172,49.23,48.04,-1.19,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,gsm8k,1319,94.16,94.01,-0.15,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,hellaswag,10042,86.49,86.47,-0.02,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,winogrande,1267,84.77,83.74,-1.03,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,truthfulqa,817,63.09,62.75,-0.34,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,bbh,6511,63.15,62.54,-0.61,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,gpqa,448,46.1,46.44,0.34,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,musr,756,44.35,44.34,-0.01,arith,1
RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8,Llama-3.3-70B-Instruct,llama-3.3,70.0,1,w8a8_int,8,8,int,unknown,humaneval,164,83.2,83.3,0.1,arith,1
